player_name,points,wins,top_10,avg_score,total_distance,total_drives,fairway_%,fairways_hit,possible_fairways,%_gir,greens_hit,#_holes,total_sg:putting,sg:ott,sg:apr,sg:arg,rounds,total_sg:t,total_sg:t2g,total_sg:p,events_y,money,year
Collin_Morikawa,2136,2,8,69.673,37674,128,69.2,620,896,72.05,830,1152,-16.14,0.382,1.5019999999999998,0.159,69,90.134,106.277,-16.14,19,6950768.0,2021
Jordan_Spieth,2072,1,9,69.90899999999999,43006,144,54.29,544,1002,65.28,846,1296,25.276999999999997,-0.009000000000000001,0.594,0.428,76,84.096,58.821999999999996,25.276999999999997,21,6214964.0,2021
Patrick_Cantlay,2014,2,5,69.975,37350,124,59.91,520,868,69.27,773,1116,14.436,0.55,0.537,0.418,69,92.71600000000001,78.283,14.436,20,5620030.0,2021
Jon_Rahm,2003,1,12,69.429,40003,130,63.52,578,910,71.62,838,1170,10.56,0.848,0.762,0.215,74,105.455,94.897,10.56,19,6793933.0,2021
Harris_English,1899,2,7,70.153,45363,152,64.94,691,1064,66.08,904,1368,31.105,0.146,0.122,0.258,79,63.73,32.625,31.105,22,5563406.0,2021
Bryson_DeChambeau,1824,2,6,69.911,41073,128,53.0,477,900,66.32,764,1152,21.715999999999998,1.13,0.27699999999999997,0.019,67,95.917,74.203,21.715999999999998,18,6078990.0,2021
Justin_Thomas,1723,1,5,69.83800000000001,41106,136,55.8,529,948,67.24,823,1224,1.7730000000000001,0.213,0.853,0.402,71,78.134,76.363,1.7730000000000001,19,5953362.0,2021
Viktor_Hovland,1698,1,6,69.832,40173,134,62.26,579,930,67.99,820,1206,8.918,0.701,0.604,0.05,74,82.098,73.182,8.918,20,4823997.0,2021
Louis_Oosthuizen,1618,0,7,69.632,34444,116,63.37,512,808,66.67,696,1044,46.731,0.075,0.35700000000000004,0.41700000000000004,65,84.09899999999999,37.37,46.731,17,5641279.0,2021
Xander_Schauffele,1613,0,7,69.706,36838,120,59.29,498,840,68.61,741,1080,28.295,0.42100000000000004,0.654,0.204,67,88.42200000000001,60.129,28.295,18,5022458.0,2021
Jason_Kokrak,1607,2,5,70.28,44131,144,60.96,612,1004,68.6,889,1296,45.38399999999999,0.473,0.315,-0.17,79,82.49700000000001,37.114000000000004,45.38399999999999,22,4882879.0,2021
Brooks_Koepka,1555,1,8,69.67699999999999,32128,104,56.49,409,724,68.06,637,936,13.259,0.616,0.738,0.17300000000000001,52,71.305,58.047,13.259,16,5018211.0,2021
Sam_Burns,1463,1,6,70.375,41394,136,57.94,547,944,67.81,830,1224,26.359,0.255,0.593,-0.1,72,69.053,42.699,26.359,22,3852238.0,2021
Joaquin_Niemann,1440,0,5,69.857,53454,172,58.67,704,1200,68.54,1061,1548,35.199,0.597,0.418,-0.059000000000000004,89,105.01700000000001,69.82,35.199,23,3722831.0,2021
Dustin_Johnson,1434,1,6,69.592,35045,112,58.72,458,780,67.16,677,1008,7.801,0.523,0.424,0.212,59,61.131,53.33,7.801,16,4451011.0,2021
Cameron_Smith,1434,1,6,70.11399999999999,39125,132,58.77,543,924,65.32,776,1188,30.546,-0.018000000000000002,0.23399999999999999,0.23,73,54.262,23.718000000000004,30.546,20,4385588.0,2021
Stewart_Cink,1431,2,3,70.442,44086,144,56.83,574,1010,70.29,911,1296,9.601,-0.001,0.589,-0.047,72,42.077,32.479,9.601,21,3409527.0,2021
Abraham_Ancer,1376,0,6,70.013,47532,164,70.8,810,1144,69.11,1020,1476,23.774,0.414,0.496,-0.021,85,81.604,57.832,23.774,23,3719925.0,2021
